assets_id,identifier,Sony Ci
4660994,cpb-aacip/259-nc5sb45v,ab79a032f8c14630864e59f2bbf1a40c
4724098,cpb-aacip/259-rj48t19w,eb2a2b1676724b3da4bc1a6aa81d478a
4894056,cpb-aacip/16-2f7jq0t23s,a9d7a61295f143f48a0a455957f62857
1476732,cpb-aacip/75-23hx3nxx,b3d7ac0482ff4b259f4e98b1f4fa5cc4
3557354,cpb-aacip/309-74cnpd2q,74c8ff09ef6d4dd69739adcb33324920
3556503,cpb-aacip/309-11xd26ck,a93d6b2254fb45d7b693aa4ba6e327c3
1712118,cpb-aacip/131-8605qqd6,efa94abcf2d648648ae7137a6af389c8
2000197,cpb-aacip/41-644qs0f9,457c0c003cd74947ab6e9152310e8a70
4855919,cpb-aacip/15-t43hx1630m,dd51583c71fe41e4aa6effd5664f1717
3163205,cpb-aacip/30-66j10gp5,ec2c054f679d4deabe456fbc5779d084
4916840,cpb-aacip/503-s17sn01t72,80d677a1dd1948369ff0c4f33a865f7c
3570620,cpb-aacip/217-84mkm4z7,4108cf4479bd44728828d7811df0437f
3283803,cpb-aacip/23-17crjgjv,a2af008931704eeb9d0b62c653686892
4894461,cpb-aacip/16-r20rr1q370,c91663bd0e854b399730c70f1ceee9fa
4840316,cpb-aacip/500-599z4175,580fe5828446426bbd87cc0fcbdf251a
3555606,cpb-aacip/309-90rr56h9,aee3a7139de5492596b4f269387a0edf
2043409,cpb-aacip/43-0966t6jr,c2b58fd1ec9946fc99ad88d57d185057
3455981,cpb-aacip/211-66vx0zqm,b73ca24c187e473982c9cfae47e28d62
2146591,cpb-aacip/41-25x6b45t,2f3512e7d9634158b216506c1a37c22c
4856776,cpb-aacip/15-348gf0mx61,3f78a4ba28924ca393039fc37e2a2cfa
4236649,cpb-aacip/15-7312k17s,c300d0fa1f16442fb38ab57cc81374a7
18495,cpb-aacip/22-92g79nmw,20d30556cdf14347bf4f6721f8402b91
4853962,cpb-aacip/15-ng4gm81x68,7d19575801f446e8be37263daabce9bb
4856229,cpb-aacip/15-rn3028pt0t,01486507508b4b8589c6d496601c6bdc
263244,cpb-aacip/129-25k990kf,ee051ebd07fc4246bf701ddc80899d53
231582,cpb-aacip/260-773txk2w,e9cacb10365445509836267f05798f4b
3598923,cpb-aacip/394-95w6mr8f,0608cad236a74cb4ae43942546fb279c
4891599,cpb-aacip/55-h707w67m1n,1849a62d569b4ad695b3f6d35ebbc512
3621742,cpb-aacip/78-60cvfbbr,151632306d9c43238c5b13c71659653f
4894558,cpb-aacip/16-6m3319sf38,51300bd499b94eba8c0c37422a17dc19
261807,cpb-aacip/129-09w0vzdg,6db25c82e79c42dc86db31dadfed5f07
2051082,cpb-aacip/43-752frk3z,ea4be7cd955d4a6aad6e624639e7c5c5
4849222,cpb-aacip/15-1z41r6n11q,7681da45ec1b4a98aa2c09e777055420
267406,cpb-aacip/322-720cg4wt,7781aab7f4d44dbcabbc0553f4c1a903
4842279,cpb-aacip/500-c24qpn6n,e66dbc1e57cd4f87b7c1f97162e7d062
1737504,cpb-aacip/221-0644j5nh,364f49c5170e4bb596db7533cdd7f611
4902406,cpb-aacip/151-8911n7z397,7f08697f5b1d4d29b79045a37a8c99d0
4847806,cpb-aacip/15-9hq3rz0h,a124319ff34a44dfb0daf7ab7361c314
2127085,cpb-aacip/80-53wsvd92,a1b187cb2c624710bd4292a7e6741cf4
4852897,cpb-aacip/15-7p8tb0xv5f,5c6986c408a5480ab0ca945e66009e3a
3013676,cpb-aacip/333-24wh73dh,be7ca1d3ca894705b57e5c70d1046a8a
715019,cpb-aacip/22-322bvt1m,1495792e4a5d492bb99a72ab4ae7864b
2145306,cpb-aacip/41-77sn0b0z,be0fcc94c68049a7bc9ab827f034696c
3556896,cpb-aacip/309-94hmh0x1,837b3001c9d74c1aa214871ccf2b17ef
2119769,cpb-aacip/16-214mwcqk,8dffb929cc2b46a7a6a011c67fb9d038
3557321,cpb-aacip/309-44pk0t33,4134aadd82f0445fbf9f72e7cb49f724
4734537,cpb-aacip/259-2b8vdr8k,8133e0e26e67450995e9ee36a690ca01
1987003,cpb-aacip/41-30bvqqwx,63ff8baef6d64e37b6f94dbe1b274adc
4705543,cpb-aacip/259-154dr046,317d5097bfbd42d4bf794a002018fef3
1064480,cpb-aacip/29-246q5b8z,bb906d5b2e724251a7ba3a29a61d5e82
4925448,cpb-aacip/151-g15t72821s,5daacd8768e24518bc055d2f850870c4
3556020,cpb-aacip/309-90dv49q2,f2a2f2dd0ea74323a4b36efc4dcb5c7a
1626837,cpb-aacip/375-61djhhsc,2e227b8920bc4d60857371984d442582
4853878,cpb-aacip/15-h707w67d29,d47552cddb0141c4a79f99f94e74caae
1946245,cpb-aacip/80-708wb4zv,249daf2f92d74a468e098c6b6d1fe6cf
4911328,cpb-aacip/15-pn8x92260n,0df3dc333b004c2e94b81190eba275f2
3555877,cpb-aacip/309-289gj0t3,2ded93e1ebad439d9f7c2427fbf953ac
4847277,cpb-aacip/500-5x25ft82,6dd716dd97e542bca280bb4bb411b6ac
4853471,cpb-aacip/15-319s17sq8q,60f1c310893d4f72b194a51537252f0e
1310534,cpb-aacip/55-99n303r0,9c1099c01bf64138a900a0ebc40a6748
4329082,cpb-aacip/15-8279d3x5,4986802cffac4531aee42d15885c8034
4852677,cpb-aacip/15-nz80k26n97,7b9cf7aaefc64621b218596b93e881f2
4910636,cpb-aacip/15-3f4kk94s2g,b8e700d592404bb597baad3fc16ca345
1444155,cpb-aacip/293-117m0f1h,830af3f989ec48d3848ebb9e9bd6b932
1735887,cpb-aacip/221-1615f186,a753937224c44f6f81897878a5f1ded5
4076255,cpb-aacip/15-687h4jh3,d1f3689b562149b987a9178da05374da
4096657,cpb-aacip/15-15bcc9m8,e9638b752bf54a75b08eaa344f0ecda2
4843339,cpb-aacip/500-zg6g617d,2f0055434ee54a8baa31dc3532cf0669
1946890,cpb-aacip/80-97kpsjx4,4847811b87ed4653b07c0d5100e3c1da
2985241,cpb-aacip/245-54kkwqc3,889858ce58c245c2b99ac02a3325ad74
4728573,cpb-aacip/259-kw57hn2v,74da2af9783542b695257482635db9dc
1839677,cpb-aacip/75-49g4ff20,5e79862cfc174e4db7c5162a33752ed7
3397797,cpb-aacip/83-68kd5kzx,717cd31676a54423b731c578c2f179c6
4888367,cpb-aacip/43-zk55d8p20f,79fc319cc52a403c986e3326aa4b8309
2024576,cpb-aacip/43-99n2zjtg,cd046915e5774c989bee13f51e5a6ebf
1825341,cpb-aacip/75-73pvmmqf,ffb30946eefb496db90508b06a30f12a
3432678,cpb-aacip/394-40ksn4mv,96f6553ee38a4e7fb58d25cc24e81f36
1738917,cpb-aacip/221-16c2fxpt,1785cb38f6ff44cfb8bc0611b45a6968
162883,cpb-aacip/225-93gxdb91,57f5dda6ef6c40fbbfe55b84c1695fe2
3006766,cpb-aacip/83-45cc2sgx,5ca3773b67c2422998ccb82572e59caa
3448283,cpb-aacip/394-16pzgvkz,9f4aa9fd56ec4383b8f263414965a555
4842378,cpb-aacip/500-pz51m88z,4bad87c3539a4ed5b7a1ea0475b055af
284289,cpb-aacip/17-25k99r36,25a7a40c4dd845678c1039ed016f831a
81358,cpb-aacip/189-36tx9942,1bf2a9b06f5c4a07a74df98620b1d018
265473,cpb-aacip/322-13zs7jz8,fab8a742b8284d42958c0b52d212ca61
4843897,cpb-aacip/500-vt1gp98s,59871887643b4977b1119425b2f09c40
4460838,cpb-aacip/15-42n5tncd,504fdd17be734e3a92d66f01effc4ecb
4843654,cpb-aacip/500-8911sn96,bd40ad57509841b88572c68b0b9c0e8f
239236,cpb-aacip/46-311ns5br,27eea9556a044ff9a5858d1265aefb17
4173362,cpb-aacip/15-66vx105s,0a0b0cbbdd764bb6b6bc720ac4ce0b44
999428,cpb-aacip/55-31cjtr0b,a010e902f48d411ba2b8237a54224658
3536976,cpb-aacip/78-93ttfs31,4e1281ec46824b19aa2da14d4c4bb991
1648782,cpb-aacip/301-65h9w6s9,0628901ffaa34e22bd45b97b039dfb33
3117264,cpb-aacip/394-81wdc0wq,855464f55e4a4b389c4f4316c76ee383
42786,cpb-aacip/254-57np5q1r,3cfe97e66db74af08bd8c0fd24f7eada
3556556,cpb-aacip/309-91sf7w1t,c1aec02675394faaaf19e661a3b9de44
4842526,cpb-aacip/500-bv79x32s,9a18fa94553240a8a7b3e66483543493
4160536,cpb-aacip/15-483j9xbc,99fca9b7442346c9995cd72411c96350
577247,cpb-aacip/305-106wwr51,0d437ded84774303b7ab9ae79bded9b7
3492264,cpb-aacip/30-52w3s019,6b7951b8e73048c290af593989df3ca0
4911576,cpb-aacip/15-ng4gm82c2v,0cd959e24fb444c2b08ff64879a2ba88
1313040,cpb-aacip/55-784j1zfn,3c4bb49828c445108a5a62e126c446da
545908,cpb-aacip/59-579s4v0m,0e6c5647a1b54aba9b5321773940d12a
266988,cpb-aacip/322-28ncjwd1,0077cb0db17443b086155998b18cb420
4901494,cpb-aacip/151-3775t3gc05,2c5ce7a2114248968cad735068d81c97
2177778,cpb-aacip/43-07tmppb7,e73f0a0646984a2d8f7cbeeb74506862
4858994,cpb-aacip/15-hx15m62h79,bc2f26a3ba6b438bae0cef7135f8424f
3556059,cpb-aacip/309-18dfn4zb,add0f8a450e84e369a4e6a32a92f44f9
4681419,cpb-aacip/259-sb3wwt4s,5528ebb990344cb3b678fbc7766e354c
1624110,cpb-aacip/375-21tdz315,7a6501e170444a139f3a4b7f6613128a
4888445,cpb-aacip/43-w950g3hj9w,db354f0299f742a39409dc33541fa67a
2990434,cpb-aacip/83-38w9gv2k,9521b03f135e449b9ba40030c4cb33de
4910181,cpb-aacip/15-w66930pn87,0f3240555f1d4d0fae49efaa38019f32
4845666,cpb-aacip/500-9w09185c,d9f054dde92e4882a593db382663a2ea
953557,cpb-aacip/304-354f54bk,dbb8f9652c71419ba6b86ee283867ce8
4842252,cpb-aacip/500-v698bk5r,dbfebd3415a54ba18b75bdcdd2d0d402
4857153,cpb-aacip/15-cn6xw47z9j,37d43e033f5042379b43f4a6deb322ba
2987091,cpb-aacip/83-80ht7pc5,5884fa70169c4aa19d547639e550a8f5
4932256,cpb-aacip/127-65h9w88k,649a6a523dec4fb98f3f34e37f419880
4855611,cpb-aacip/15-m32n58ct3c,9d4cda3bf0014361b92475e34877d87b
3615607,cpb-aacip/77-00ns2nsq,c6284a1a74a34d31a391017548d606bc
4910977,cpb-aacip/15-1r6n010628,14d11264e7564c3ab89637a579c27a3c
4433017,cpb-aacip/15-472v78j1,3f2fa97d62364e79b7aae4b869107abc
4717431,cpb-aacip/259-3x83n49g,fb89ec8d5a0748a890bc5736d8fbc50f
3556241,cpb-aacip/309-902z3dn1,eb364bb32ee543db9a3271c65aa64886
1583410,cpb-aacip/138-48sbck0z,d49d2fe5157b4bc5af25b7ad277a2da1
4703558,cpb-aacip/259-gf0mwb0d,4a26c4457a0a49a08cca618d69091601
1013419,cpb-aacip/55-03228pzt,08bc742c2e6a417cb7d9ef3da17bf2d2
4843437,cpb-aacip/500-9c6s2t05,639bc0eb921f4f1a8d235aa1c945da36
257820,cpb-aacip/129-82x3fsjs,56d2984c28934bb2bfe3f8b5b1c5e8f0
2139040,cpb-aacip/80-96wwqpbr,c3915b5e18554422a58e14acb23a216e
4893409,cpb-aacip/27-nk3610w93t,74e13bb6e92640e1b0d2e7744f804b9e
965844,cpb-aacip/37-72b8h45p,9cca0b678b314fa2b109e37470827740
4893221,cpb-aacip/27-z02z31p61j,6565b7a423f749479ed2da86380442d1
1461445,cpb-aacip/75-848pk9xh,86ea751ec1b0486cbfffa6827f373dcf
4847680,cpb-aacip/15-9sq8qh2c,9e4140f3908040fb8813514e522077e3
4284921,cpb-aacip/15-10jsxsz1,cd30074f4d2d47cc92fb5aa3c228b0a4
4891142,cpb-aacip/55-jh3cz32k1b,f85b80f2f4d94d5a81309f67b615b1e8
4843837,cpb-aacip/500-mp4vnq1q,ee211386e0c64026ad9609db57f3e0ab
4910030,cpb-aacip/15-cz3222rt1w,a96678bf85b741ffabd84837ff908179
1587717,cpb-aacip/138-95w6mkb0,5e823dc671a6453bbcfee66adeec1ccc
3183355,cpb-aacip/30-96wwqwd5,0ed7f565939e439cb52aac626f401aa1
1754410,cpb-aacip/398-21tdz51q,086fe3f5e07f47e2b81e06f7b8c1a080
4677187,cpb-aacip/259-jh3d212k,33b25ae63d1c4b388d6bf814edf202c1
573229,cpb-aacip/331-34sj3xzh,6523cf32d2df4d70b98dba9c20ca84f2
771532,cpb-aacip/129-1937q1sk,f829cf698a0d4bd2931cc58d7d55e1a0
4890322,cpb-aacip/29-5717m0483x,387044228e834326a9b4039176ae163d
2006275,cpb-aacip/41-8279d85r,dc73a39e2f39475f828b792be2aca87d
4932473,cpb-aacip/37-319s17sx8c,658aab8796044fbf9f87143cb53a0ebb
567231,cpb-aacip/52-59q2c26g,f5fbb4e3ea8644cdb81a08602f4d2e64
3445770,cpb-aacip/394-45q83hk1,1a5c27a52e3940e1b75972b7e31dccdf
1966082,cpb-aacip/41-19f4r271,925f9f8f98b746a580986e2c8fdbcf6b
186276,cpb-aacip/187-49g4fch5,f8e5110ddb994de2b2ad29eeaf315072
